SLB,Schlumberger Ltd,Energy
SCHW,Schwab(Charles)Corp,Financials
SNI,Scripps Networks Interact,Consumer Discretionary
STX,Seagate Technology Plc,Information Technology
SEE,Sealed Air,Materials
SRE,Sempra Energy,Utilities
SHW,Sherwin-Williams,Materials
SIAL,Sigma-Aldrich,Materials
SPG,Simon Property Group,Financials
SJM,Smucker (J.M.),Consumer Staples
SNA,Snap-On,Industrials
SO,Southern Co,Utilities
LUV,Southwest Airlines,Industrials
SWN,Southwestern Energy,Energy
SE,Spectra Energy,Energy
STJ,St. Jude Medical,Health Care
SWK,Stanley Black & Decker,Industrials
SPLS,Staples,Consumer Discretionary
SBUX,Starbucks Corp,Consumer Discretionary
HOT,Starwood Hotels&Res World,Consumer Discretionary
STT,State Street Corp,Financials
SRCL,Stericycle,Industrials
SYK,Stryker Corp,Health Care
STI,SunTrust Banks,Financials
SYMC,Symantec Corp,Information Technology
SYY,Sysco Corp,Consumer Staples
TROW,T.Rowe Price Group,Financials
TGT,Target Corp,Consumer Discretionary
TEL,TE Connectivity,Information Technology
TE,TECO Energy,Utilities
THC,Tenet Healthcare,Health Care
TDC,Teradata Corp,Information Technology
TSO,Tesoro Corp,Energy
TXN,Texas Instruments,Information Technology
TXT,Textron,Industrials
TMO,Thermo Fisher Scientific,Health Care
TIF,Tiffany & Co,Consumer Discretionary
TWX,Time Warner,Consumer Discretionary
TWC,Time Warner Cable,Consumer Discretionary
TJX,TJX Companies,Consumer Discretionary
TMK,Torchmark Corp,Financials
TSS,Total System Services,Information Technology
TSCO,Tractor Supply,Consumer Discretionary
RIG,Transocean Ltd,Energy
TRV,TravelersCompanies,Financials
TRIP,TripAdvisor,Consumer Discretionary
FOXA,Twenty-First Century Fox,Consumer Discretionary
TSN,Tyson Foods,Consumer Staples
USB,U.S. Bancorp,Financials
UA,Under Armour,Consumer Discretionary
UNP,Union Pacific,Industrials
UPS,United Parcel,Industrials
URI,United Rentals,Industrials
UTX,United Technologies,Industrials
UNH,UnitedHealth Group,Health Care
UHS,Univl Health Services,Health Care
UNM,Unum Group,Financials
URBN,Urban Outfitters,Consumer Discretionary
VLO,Valero Energy,Energy
VAR,Varian Medical Systems,Health Care
VTR,Ventas,Financials
VRSN,VeriSign,Information Technology
VZ,Verizon Communications,Telecommunication Services
VRTX,Vertex Pharmaceuticals,Health Care
VFC,VF Corp,Consumer Discretionary
VIAB,Viacom,Consumer Discretionary
V,Visa,Information Technology
VNO,Vornado Realty Trust,Financials
VMC,Vulcan Materials,Materials
WMT,Wal-Mart Stores,Consumer Staples
WAG,Walgreen Co,Consumer Staples
DIS,Walt Disney Co,Consumer Discretionary
WM,Waste Management,Industrials
WAT,Waters Corp,Health Care
WLP,WellPoint,Health Care
WFC,Wells Fargo,Financials
WDC,Western Digital,Information Technology
WU,Western Union,Information Technology
WY,Weyerhaeuser Co,Financials
WHR,Whirlpool Corp,Consumer Discretionary
WFM,Whole Foods Market,Consumer Staples
WMB,WilliamsCompanies,Energy
WIN,Windstream Holdings,Telecommunication Services
WEC,Wisconsin Energy Corp,Utilities
WYN,Wyndham Worldwide,Consumer Discretionary
WYNN,Wynn Resorts,Consumer Discretionary
XEL,Xcel Energy,Utilities
XRX,Xerox Corp,Information Technology
XLNX,Xilinx,Information Technology
XL,XL Group Plc,Financials
XYL,Xylem,Industrials
YHOO,Yahoo,Information Technology
YUM,Yum Brands,Consumer Discretionary
ZMH,Zimmer Holdings,Health Care
ZION,Zions Bancorp,Financials
ZTS,Zoetis,Health Care
