PNC,PNC FINANCIAL SERVICES GROUP,NYSE,50662969126
PPG,PPG INDUSTRIES INC,NYSE,29202714829
PX,PRAXAIR INC,NYSE,32551768931
PCP,PRECISION CASTPARTS CORP,NYSE,26479912122
PGR,PROGRESSIVE CORP,NYSE,17965451952
PEG,PUBLIC SERVICE ENTERPRISE GP,NYSE,21059566758
RTN,RAYTHEON COMPANY,NYSE,33056377200
RHI,ROBERT HALF INTL INC,NYSE,7463390351
R,RYDER SYSTEM INC,NYSE,4882591551
SCG,SCANA CORP,NYSE,7828988713
EIX,EDISON INTERNATIONAL,NYSE,19597544041
SLB,SCHLUMBERGER LTD,NYSE,1.03868E+11
SCHW,SCHWAB (CHARLES) CORP,NYSE,45579119779
SHW,SHERWIN-WILLIAMS CO/THE,NYSE,25932133545
SJM,JM SMUCKER CO/THE,NYSE,13390690862
SNA,SNAP-ON INC,NYSE,9517571312
AME,AMETEK INC,NYSE,12870661231
SO,SOUTHERN CO/THE,NYSE,40835431240
BBT,BB&T CORP,NYSE,31433744523
LUV,SOUTHWEST AIRLINES CO,NYSE,24745613604
SWN,SOUTHWESTERN ENERGY CO,NYSE,6770827076
SWK,STANLEY BLACK & DECKER INC,NYSE,15896974958
PSA,PUBLIC STORAGE,NYSE,35533561463
STI,SUNTRUST BANKS INC,NYSE,22718815794
SYY,SYSCO CORP,NYSE,21535765839
TE,TECO ENERGY INC,NYSE,5158573301
TSO,TESORO CORP,NYSE,12184302006
TXN,TEXAS INSTRUMENTS INC,NASDAQ,52111801554
TXT,TEXTRON INC,NYSE,11952481616
TMO,THERMO FISHER SCIENTIFIC INC,NYSE,55166631097
TIF,TIFFANY & CO,NYSE,12143484521
TJX,TJX COMPANIES INC,NYSE,47191504640
TMK,TORCHMARK CORP,NYSE,7859062588
TSS,TOTAL SYSTEM SERVICES INC,NYSE,8577879270
TYC,TYCO INTERNATIONAL PLC,NYSE,16093484431
UNP,UNION PACIFIC CORP,NYSE,83706206723
UNH,UNITEDHEALTH GROUP INC,NYSE,1.15276E+11
UNM,UNUM GROUP,NYSE,8796653732
MRO,MARATHON OIL CORP,NYSE,13883812481
VAR,VARIAN MEDICAL SYSTEMS INC,NYSE,8556598467
VTR,VENTAS INC,NYSE,22423955179
VFC,VF CORP,NYSE,32255618743
VNO,VORNADO REALTY TRUST,NYSE,18450039867
ADT,ADT CORP/THE,NYSE,5726726834
VMC,VULCAN MATERIALS CO,NYSE,11894339713
WY,WEYERHAEUSER CO,NYSE,15847446475
WHR,WHIRLPOOL CORP,NYSE,13799211941
WMB,WILLIAMS COS INC,NYSE,38722587302
WEC,WEC ENERGY GROUP INC,NYSE,15585859188
XRX,XEROX CORP,NYSE,11692613383
ADBE,ADOBE SYSTEMS INC,NASDAQ,40508333444
AES,AES CORP,NYSE,8687475992
AMGN,AMGEN INC,NASDAQ,1.33505E+11
AAPL,APPLE INC,NASDAQ,6.7543E+11
ADSK,AUTODESK INC,NASDAQ,12133864019
CTAS,CINTAS CORP,NASDAQ,9492504351
CMCSA,COMCAST CORP-CLASS A,NASDAQ,1.57502E+11
TAP,MOLSON COORS BREWING CO -B,NYSE,13038646106
KLAC,KLA-TENCOR CORP,NASDAQ,8402252230
MAR,MARRIOTT INTERNATIONAL -CL A,NASDAQ,19295460592
MKC,MCCORMICK & CO-NON VTG SHRS,NYSE,10491582331
JWN,NORDSTROM INC,NYSE,14465317745
PCAR,PACCAR INC,NASDAQ,22877290184
COST,COSTCO WHOLESALE CORP,NASDAQ,63954243701
SIAL,SIGMA-ALDRICH,NASDAQ,16744962031
STJ,ST JUDE MEDICAL INC,NYSE,20638414921
SYK,STRYKER CORP,NYSE,38224424303
TSN,TYSON FOODS INC-CL A,NYSE,16230550972
ALTR,ALTERA CORP,NASDAQ,15075200592
