Company Name,Company Ticker,Date,Date Type,Time,Type,Period,Domestic Call Num,Domestic Call Pin,Domestic Replay Num,Domestic Replay Pin,International Call Num,International Call Pin,International Replay Num,International Replay Pin,Actual,Actual Source,Estimate,Surprise,Guidance,Event Description,WebUrl,WebUrl Pin,Presentation,Presentation Pin,Press Release Url,Press Release Pin,City,State,Country
Alcoa Inc,AA US,7/8/2015,C,Aft-mkt,ER,Q2 2015,(855) 252-9433,71123428,(855) 859-2056,71123428,(484) 487-2715,71123428,(404) 537-3406,71123428,,,0.228,,,Q2 2015 Earnings Release,http://edge.media-server.com/m/p/6eijrcbn,,,,,,,,
PepsiCo Inc,PEP US,7/9/2015,C,6:30,ER,Q2 2015,800-540-4194,"76870903, DEWSHINE",,,212-931-9775,"76870903, DEWSHINE",,,,,1.241,,,Q2 2015 Earnings Release,http://www.pepsico.com/Investors/Events-and-Presentations,,,,,,,,
Walgreens Boots Alliance Inc,WBA US,7/9/2015,C,7:00,ER,Q3 2015,855-318-7170,,855-859-2056,62063965,614-347-3904,,404-537-3406,62063965,,,0.864,,,Q3 2015 Earnings Release,http://edge.media-server.com/m/p/b8sxcfhn,,,,,,,,
Johnson & Johnson,JNJ US,7/14/2015,C,Bef-mkt,ER,Q2 2015,866-527-6580,68352415,855-859-2056,68352415,631-513-4629,68352415,404-537-3406,68352415,,,1.689,,,Q2 2015 Earnings Release,http://edge.media-server.com/m/p/a3hzru6r,,,,,,,,
JPMorgan Chase & Co,JPM US,7/14/2015,C,7:00,ER,Q2 2015,(866) 541-2724,,(855) 859-2056,48902478,(706) 634-7246,,(404) 537-3406,48902478,,,1.448,,,Q2 2015 Earnings Release,http://edge.media-server.com/m/p/rw8pb9dr,,,,,,,,
Fastenal Co,FAST US,7/14/2015,C,7:00,ER,Q2 2015,(508) 915-0979,,,,(508) 915-0979,,,,,,0.469,,,Q2 2015 Earnings Release,http://edge.media-server.com/m/p/csqtgtc3,,,,,,,,
Wells Fargo & Co,WFC US,7/14/2015,C,8:00,ER,Q2 2015,866-872-5161,,855-859-2056,46479315,706-643-1962,,404-537-3406,46479315,,,1.032,,,Q2 2015 Earnings Release,https://engage.vevent.com/index.jsp?eid=3946&seid=67,,,,,,,,
CSX Corp,CSX US,7/14/2015,C,Aft-mkt,ER,Q2 2015,888-327-6279,,,,773-756-0199,,,,,,0.528,,0.53,Q2 2015 Earnings Release,http://edge.media-server.com/m/p/jfgh89vk/lan/en,,,,,,,,
Yum! Brands Inc,YUM US,7/14/2015,C,Aft-mkt,ER,Q2 2015,877 815-2029,,855 859-2056,50758903,706 645-9271,,404 537-3406,50758903,,,0.623,,0.584,Q2 2015 Earnings Release,http://edge.media-server.com/m/p/cf9i63au/lan/en//,,,,,,,,
US Bancorp/MN,USB US,7/15/2015,C,Bef-mkt,ER,Q2 2015,866-316-1409,48520914,855-859-2056,48520914,706-634-9086,48520914,404-537-3406,48520914,,,0.801,,,Q2 2015 Earnings Release,http://phx.corporate-ir.net/phoenix.zhtml?c=117565&p=irol-presentations_pf,,,,,,,,
BlackRock Inc,BLK US,7/15/2015,C,Bef-mkt,ER,Q2 2015,(800) 374-0176,74398078,(855) 859-2056,74398078,(706) 679-8281,74398078,(404) 537-3406,74398078,,,4.824,,,Q2 2015 Earnings Release,http://www.blackrock.com/corporate/en-in/investor-relations,,,,,,,,
Bank of America Corp,BAC US,7/15/2015,C,7:00,ER,Q2 2015,877.200.4456,79795,800.753.8546,,785.424.1732,79795,402.220.0685,,,,0.36,,,Q2 2015 Earnings Release,http://www.media-server.com/m/acs/f2e47ac2661f78df0b1a5363ab44f92b,,,,,,,,
Netflix Inc,NFLX US,7/15/2015,C,16:05,ER,Q2 2015,,,,,,,,,,,0.315,,0.26,Q2 2015 Earnings Release,http://ir.netflix.com/eventdetail.cfm?EventID=161751,,,,,,,,
Intel Corp,INTC US,7/15/2015,C,Aft-mkt,ER,Q2 2015,877-303-7005,71156549,855-859-2056,71156549,678-809-1045,71156549,404-537-3406,71156549,,,0.507,,,Q2 2015 Earnings Release,http://edge.media-server.com/m/p/twq9d6md,,,,,,,,
PNC Financial Services Group Inc/The,PNC US,7/15/2015,C,,ER,Q2 2015,800-786-5706,,800-633-8284,21770125,212-231-2938,,402-977-9140,21770125,,,1.757,,,Q2 2015 Earnings Release,http://phx.corporate-ir.net/phoenix.zhtml?c=107246&p=irol-calendar#.html,,,,,,,,
Cintas Corp,CTAS US,7/15/2015,E,,ER,Q4 2015,,,,,,,,,,,0.844,,,Q4 2015 Earnings Release,,,,,,,,,
Yahoo! Inc,YHOO US,7/15/2015,E,,ER,Q2 2015,,,,,,,,,,,0.184,,,Q2 2015 Earnings Release,,,,,,,,,
PPG Industries Inc,PPG US,7/16/2015,C,Bef-mkt,ER,Q2 2015,866-953-6858,87795933,888-286-8010,51249988,617-399-3482,87795933,617-801-6888,51249988,,,1.644,,,Q2 2015 Earnings Release,http://www.media-server.com/m/acs/f305c0c6c47b49882a35d56e1c492f76,,,,,,,,
Charles Schwab Corp/The,SCHW US,7/16/2015,C,Bef-mkt,ER,Q2 2015,,,,,,,,,,,0.241,,,Q2 2015 Earnings Release,,,,,,,,,
BB&T Corp,BBT US,7/16/2015,C,Bef-mkt,ER,Q2 2015,888-632-5009,5184622,888-203-1112,4313363,,,,,,,0.7,,,Q2 2015 Earnings Release,,,,,,,,,
UnitedHealth Group Inc,UNH US,7/16/2015,C,Bef-mkt,ER,Q2 2015,,,800-388-9074,,,,,,,,1.585,,,Q2 2015 Earnings Release,http://www.unitedhealthgroup.com/Investors/Default.aspx,,,,,,,,
KeyCorp,KEY US,7/16/2015,C,Bef-mkt,ER,Q2 2015,(866) 615-1890,337808,(800) 475-6701,337808,(651) 291-1170,337808,,,,,0.277,,,Q2 2015 Earnings Release,http://78449.choruscall.com/dataconf/productusers/key/mediaframe/12046/indexr.html,,,,,,,,
Sherwin-Williams Co/The,SHW US,7/16/2015,C,7:00,ER,Q2 2015,(877) 407-9205,,201-612-7415,13612316,(201) 689-8054,,201-612-7415,13612316,,,3.814,,3.8,Q2 2015 Earnings Release,http://investors.sherwin-williams.com/index.jsp,,,,,,,,
Goldman Sachs Group Inc/The,GS US,7/16/2015,C,7:30,ER,Q2 2015,888-281-7154,,855-859-2056,87422686,706-679-5627,,404-537-3406,87422686,,,3.962,,,Q2 2015 Earnings Release,http://www.goldmansachs.com/investor-relations/,,,,,,,,
Citigroup Inc,C US,7/16/2015,C,8:00,ER,Q2 2015,(866) 516-9582,57649611,(855) 859-2056,57649611,(973) 409-9210,57649611,(404) 537-3406,57649611,,,1.347,,,Q2 2015 Earnings Release,http://www.citigroup.com/citi/investor/overview.html,,,,,,,,
People's United Financial Inc,PBCT US,7/16/2015,C,16:00,ER,Q2 2015,866-510-0712,22863582,888-286-8010,51673218,617-597-5380,22863582,617-801-6888,51673218,,,0.211,,,Q2 2015 Earnings Release,http://edge.media-server.com/m/p/uajt793t,,,,,,,,
Mattel Inc,MAT US,7/16/2015,C,Aft-mkt,ER,Q2 2015,(253) 237-1511,,(404) 537-3406,67921610,(253) 237-1511,,(404) 537-3406,67921610,,,-0.045,,,Q2 2015 Earnings Release,http://investor.shareholder.com/mattel/events.cfm,,,,,,,,
Schlumberger Ltd,SLB US,7/16/2015,C,Aft-mkt,ER,Q2 2015,(800) 230-1059,,(800) 475-6701,358215,(612) 234-9959,,(320) 365-3844,358215,,,0.794,,,Q2 2015 Earnings Release,http://edge.media-server.com/m/p/zeedrwrk/lan/en,,,,,,,,
eBay Inc,EBAY US,7/16/2015,C,Aft-mkt,ER,Q2 2015,,,,,,,,,,,0.724,,0.72,Q2 2015 Earnings Release,http://edge.media-server.com/m/p/csv6s7av,,,,,,,,
